Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Loyola Marymount,52.3,47.6,28.7,31.0,27.3,33.2,17.299999999999997,17.299999999999997,35.9,33.8,51.2,46.0,64.3,71.9,42.2,35.1,50.3,50.3,143,Loyola Marymount,WCC,11-8,104.72701708819396,102.62165673172494,0.558121958907725,0.4941132519052155,67.61262913980713,2026,0.3227533077883938,-1.043952642002624,-0.03403358176239373,-0.011467015002874717,-0.8450618626894709,0.5851167453477404,-1.219068090521567,-0.7799446825203366,-0.10873932013236305,-1.4074084812423622,0.814767028164253,0.06729299240784806,0.4298668066918153,-1.0113509110247665,-0.14393884502151802
Texas Southern,47.0,57.1,37.7,47.2,25.3,33.4,20.5,16.400000000000002,31.0,36.1,47.3,59.4,70.7,71.1,32.6,43.5,40.7,57.7,313,Texas Southern,SWAC,3-12,99.58242057206564,112.49269140630132,0.1975179590872333,0.4692156066520558,69.74005764222137,2026,-1.0796866605778517,1.6890830591254218,1.4437070687385318,-0.39980870865691065,-1.3019535526341557,0.6416759646411515,0.3413428654336037,1.7821735995589685,-0.9653548276499043,1.8415814096135419,-0.8481461635186959,0.9005152214106615,-1.1944762221533476,0.81641324647711,0.6509997808164358
Marshall,53.5,48.1,30.6,41.5,32.6,32.9,18.5,16.400000000000002,35.5,31.9,53.8,48.2,73.2,71.4,46.2,39.2,60.9,49.3,178,Marshall,SB,11-6,109.04347868077056,110.38093929624144,0.4650088053431793,0.4297833171688137,69.88758683699605,2026,0.6402868855316955,-0.9001086577327267,0.5201191621754542,-0.39980870865691065,0.3657011156639442,0.5002779164076208,-0.8896479998199195,0.8806875373458793,0.462337684879329,-0.8739922305048249,0.6790190125166657,-0.6210210228553439,1.1066764020439663,-0.11922792938694536,0.7061257957363608
Wake Forest,52.8,51.0,34.1,39.0,32.7,32.4,16.8,21.3,34.1,30.3,54.1,56.0,75.8,72.8,43.5,47.3,53.8,61.0,54,Wake Forest,ACC,10-7,114.43812846130736,100.76238228158056,0.8120820618386629,0.6115914881084411,70.33306157468385,2026,0.45505896518143585,-0.06581354896732379,-0.26493055840316154,1.7144960679039627,0.3885457001611788,0.3588798681740901,-0.2828215169484645,0.4852989135682089,0.5282311854576023,1.0172108402918947,0.20390095775010927,-1.2006538778138212,0.6498299251812639,1.6432589367755774,0.8725826592319834
Mississippi Valley St.,43.9,57.7,31.4,47.5,26.700000000000003,36.6,24.2,16.0,28.5,38.5,44.4,57.5,73.6,75.7,29.3,47.3,52.3,65.0,364,Mississippi Valley St.,SWAC,1-17,88.47652188496409,118.78680959457758,0.0326782596836251,0.4820395413925536,67.72003655639665,2026,-1.8999817364147131,1.8616958402492987,3.1523446958802253,-0.5724050169475952,-0.9821293696728759,1.5466234733357487,-0.7509448037350159,1.8296202344122885,-1.6023253332398697,1.3809037385220333,-1.696571261316119,1.769964503848378,-1.7528441383188724,1.6432589367755774,-0.10380480335967726
Coastal Carolina,45.8,46.7,29.9,38.9,25.4,27.200000000000003,14.000000000000002,13.5,32.6,32.5,43.8,45.4,71.6,71.3,40.2,37.9,42.1,40.9,277,Coastal Carolina,SB,9-9,99.12969807441011,108.7132635311756,0.2570659870895896,0.3555610998777391,68.753069069966,2026,-1.3972202383211536,-1.3028718136884383,-1.5579536275914698,-1.6511319437643677,-1.279108968136922,-1.1116598334546277,-1.011013296394211,0.4694833686171019,-1.7341123343964144,-1.5528856405344178,-0.3051541009283446,-0.4036587022459142,0.09146200901573975,-0.40209619185747486,0.2821999182330051
Tennessee St.,47.4,52.400000000000006,33.1,48.1,33.300000000000004,30.9,17.9,20.3,31.0,31.3,47.9,55.3,73.1,72.8,31.5,34.2,46.0,51.6,258,Tennessee St.,OVC,10-6,103.04497568295145,111.26619846433576,0.2926103898337142,0.3292142006103483,71.82179071312882,2026,-0.9738421346634184,0.3369496069883898,0.24304279020653025,1.2830052971772539,0.5256132071445846,-0.0653142765265019,-0.4562005120545945,1.9245135041189296,-0.8335678264933594,0.8474874877844961,-0.8481461635186959,-0.8383833434647724,-1.3805988608751893,-1.2071827850428245,1.4288637724244422
Iowa,58.4,48.8,37.6,37.8,32.7,28.6,15.8,22.9,37.0,30.4,60.5,50.7,76.1,68.9,40.1,37.5,60.8,48.5,22,Iowa,B10,12-4,120.6950770596926,96.9111412110083,0.9258030032526288,0.5316310447376202,64.15933251049424,2026,1.9368823279835077,-0.698727079754872,-0.7267245116847004,2.404881301066696,0.3885457001611788,-0.7157452984007422,0.3240049659229905,0.29551237415492665,1.9339591977940778,-0.26783740012126067,1.1880740711951197,-1.1644268243789169,0.07454176913193573,-0.48913258030994483,-1.4343036558725362
Utah Tech,52.5,52.900000000000006,28.2,35.9,28.6,33.800000000000004,18.7,18.5,32.1,31.0,55.3,56.4,72.4,74.9,39.8,35.2,51.7,50.0,215,Utah Tech,WAC,9-9,108.15466317906753,111.71055793531698,0.4080547095582406,0.4547759110263233,66.89003770176967,2026,0.37567557074561136,0.48079359125828697,0.6124779528317617,0.5063219098691772,-0.5480822642254255,0.7547944032279776,-1.305757588074632,-0.004982979916102681,0.7918051877706905,1.1141956131532647,-0.4748391204878292,-0.9470645037694873,0.023781049480523682,-0.9895918139116486,-0.413943615637267
Ohio St.,56.49999999999999,47.9,39.2,32.300000000000004,33.300000000000004,29.5,15.8,16.0,34.1,29.4,60.1,50.4,78.7,73.6,39.7,40.9,56.3,51.1,41,Ohio St.,B10,11-5,119.93613931086512,103.41761455066444,0.8460717351549729,0.5934878821680428,67.67793692600048,2026,1.4341208298899462,-0.9576462514406865,-0.7267245116847004,-0.5724050169475952,0.5256132071445846,-0.4612288115803874,0.6014113580927987,-0.5743425981559472,1.8461011970230483,-0.3405759797672894,0.20390095775010927,-1.5266973587279657,0.006860809596720866,0.2506767215360526,-0.11953582430700181
