Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year,Conf Record,Away,Home,SOS
245,Southern Utah,WAC,29,8–21,104.7,111.4,0.3308,48.4,52.6,16.9,17.0,27.9,33.0,36.2,32.2,50.8,53.0,29.4,34.3,35.0,27.2,70.5,-15.1,2024,5–15,,Southern Utah,0.4569155998281068
246,Miami OH,MAC,29,13–16,100.2,106.6,0.3296,51.1,49.3,17.3,17.9,22.8,30.9,30.9,32.4,48.5,50.0,36.6,32.2,40.3,36.9,68.0,-11.7,2024,9–9,,Miami OH,0.3815857558630096
247,Austin Peay,ASun,31,16–15,106.2,113.0,0.3293,50.7,53.1,13.3,16.3,30.2,31.4,31.8,37.8,48.9,54.1,36.2,34.3,34.8,36.4,65.2,-10.5,2024,10–6,,Austin Peay,0.3609197138297279
248,Green Bay,Horz,30,16–14,102.1,108.6,0.3286,52.4,49.4,18.6,14.0,27.3,28.4,29.4,34.2,53.7,51.6,34.0,30.2,48.2,35.3,64.5,-9.2,2024,13–7,,Green Bay,0.3873590410201837
249,Canisius,MAAC,29,12–17,100.7,107.2,0.3282,49.6,51.1,19.1,16.2,32.7,27.9,28.7,28.8,49.2,51.2,33.5,33.9,36.1,32.0,68.3,-12.5,2024,8–12,,Canisius,0.3905272815075174
250,Albany,AE,31,12–19,103.6,110.2,0.3277,50.4,51.4,17.7,17.0,30.6,29.4,29.2,38.9,51.0,54.6,32.9,29.3,36.9,29.6,74.0,-13.9,2024,5–11,,Albany,0.3942084215486127
251,Nicholls St.,Slnd,29,16–13,102.1,108.8,0.3266,51.2,49.2,18.7,16.4,27.2,32.7,36.9,38.5,48.3,50.4,37.0,31.4,40.1,35.9,67.3,-7.7,2024,13–5,,Nicholls St.,0.3659701872387181
252,Milwaukee,Horz,32,18–14,106.1,113.1,0.3249,51.2,50.6,18.2,15.6,36.2,32.5,34.2,32.5,52.7,50.2,32.5,34.1,39.1,38.4,70.8,-9.1,2024,12–8,,Milwaukee,0.3850157443750115
253,Portland St.,BSky,29,14–15,98.7,105.2,0.3243,46.8,52.0,16.4,18.6,29.8,28.3,34.3,34.7,45.6,51.1,32.4,35.6,37.6,38.2,70.2,-11.1,2024,8–10,,Portland St.,0.353664303856162
254,Florida Gulf Coast,ASun,29,11–18,102.1,108.9,0.3212,52.1,52.8,17.6,15.8,29.6,28.3,27.2,29.3,50.8,52.0,36.2,35.9,37.3,42.8,64.8,-13.3,2024,8–8,,Florida Gulf Coast,0.3693523524449625
255,Idaho St.,BSky,31,12–19,102.8,109.8,0.3184,51.3,54.2,16.7,18.2,30.3,27.1,33.9,32.7,53.0,54.4,32.1,35.8,35.3,29.7,64.9,-14.7,2024,7–11,,Idaho St.,0.3602016426914848
256,Southern Miss,SB,30,14–16,100.1,107.0,0.3166,48.4,50.5,18.5,17.2,28.9,30.5,37.9,33.0,47.2,48.9,33.8,35.7,33.6,34.5,68.8,-11.1,2024,9–9,,Southern Miss,0.4248208905590644
257,North Carolina Central,MEAC,25,13–12,103.1,110.3,0.3137,50.2,48.7,17.4,18.0,30.4,33.1,40.4,36.4,50.6,51.2,33.0,29.8,38.2,37.3,67.3,-8.7,2024,9–5,,North Carolina Central,0.2646298704767585
258,Middle Tennessee,CUSA,29,11–18,98.0,105.1,0.3089,46.3,49.5,20.6,15.7,29.0,30.7,34.8,30.0,46.2,49.4,30.9,33.1,42.0,29.8,66.0,-12.8,2024,7–9,,Middle Tennessee,0.4803704412202267
259,Cal St. Bakersfield,BW,29,11–18,99.1,106.3,0.3083,46.6,49.7,18.2,18.7,32.9,31.3,32.4,46.0,46.2,49.2,31.8,33.7,25.9,36.3,65.6,-12.9,2024,8–12,,Cal St. Bakersfield,0.4127882561513393
260,Ball St.,MAC,29,13–16,102.7,110.2,0.308,50.8,51.3,18.2,16.2,27.3,27.9,38.2,27.6,48.7,50.6,36.1,35.1,37.9,35.2,67.6,-12.5,2024,7–11,,Ball St.,0.3257039968157039
261,North Dakota St.,Sum,29,12–17,103.8,111.5,0.3066,53.3,53.7,16.8,13.2,24.3,24.7,30.3,28.5,51.4,52.8,37.7,36.8,35.9,34.7,66.6,-12.0,2024,8–8,,North Dakota St.,0.3986759475827709
