Game,Bookmaker,Market,Team,Odds,Point
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,lowvig,spreads,UT Rio Grande Valley Vaqueros,1.99,-3.0
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,draftkings,spreads,Northwestern St Demons,1.98,2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,draftkings,spreads,UT Rio Grande Valley Vaqueros,1.85,-2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,fanduel,spreads,Northwestern St Demons,1.94,2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,fanduel,spreads,UT Rio Grande Valley Vaqueros,1.88,-2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betmgm,spreads,Northwestern St Demons,1.95,2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betmgm,spreads,UT Rio Grande Valley Vaqueros,1.87,-2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betrivers,spreads,Northwestern St Demons,1.93,2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betrivers,spreads,UT Rio Grande Valley Vaqueros,1.87,-2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,bovada,spreads,Northwestern St Demons,1.87,3.0
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,bovada,spreads,UT Rio Grande Valley Vaqueros,1.95,-3.0
Alabama A&M Bulldogs vs Jackson St Tigers,betonlineag,spreads,Alabama A&M Bulldogs,1.93,-5.5
Alabama A&M Bulldogs vs Jackson St Tigers,betonlineag,spreads,Jackson St Tigers,1.88,5.5
Alabama A&M Bulldogs vs Jackson St Tigers,lowvig,spreads,Alabama A&M Bulldogs,1.97,-5.5
Alabama A&M Bulldogs vs Jackson St Tigers,lowvig,spreads,Jackson St Tigers,1.92,5.5
Alabama A&M Bulldogs vs Jackson St Tigers,draftkings,spreads,Alabama A&M Bulldogs,1.95,-5.5
Alabama A&M Bulldogs vs Jackson St Tigers,draftkings,spreads,Jackson St Tigers,1.87,5.5
Alabama A&M Bulldogs vs Jackson St Tigers,fanduel,spreads,Alabama A&M Bulldogs,1.91,-5.5
Alabama A&M Bulldogs vs Jackson St Tigers,fanduel,spreads,Jackson St Tigers,1.91,5.5
Alabama A&M Bulldogs vs Jackson St Tigers,betrivers,spreads,Alabama A&M Bulldogs,1.96,-6.5
Alabama A&M Bulldogs vs Jackson St Tigers,betrivers,spreads,Jackson St Tigers,1.83,6.5
Alabama A&M Bulldogs vs Jackson St Tigers,bovada,spreads,Alabama A&M Bulldogs,1.87,-5.0
Alabama A&M Bulldogs vs Jackson St Tigers,bovada,spreads,Jackson St Tigers,1.95,5.0
Texas Southern Tigers vs Miss Valley St Delta Devils,betonlineag,spreads,Miss Valley St Delta Devils,1.91,13.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betonlineag,spreads,Texas Southern Tigers,1.91,-13.5
Texas Southern Tigers vs Miss Valley St Delta Devils,lowvig,spreads,Miss Valley St Delta Devils,1.94,13.5
Texas Southern Tigers vs Miss Valley St Delta Devils,lowvig,spreads,Texas Southern Tigers,1.94,-13.5
Texas Southern Tigers vs Miss Valley St Delta Devils,draftkings,spreads,Miss Valley St Delta Devils,1.83,14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,draftkings,spreads,Texas Southern Tigers,2.0,-14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,fanduel,spreads,Miss Valley St Delta Devils,1.87,14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,fanduel,spreads,Texas Southern Tigers,1.95,-14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betmgm,spreads,Miss Valley St Delta Devils,1.85,14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betmgm,spreads,Texas Southern Tigers,1.98,-14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betrivers,spreads,Miss Valley St Delta Devils,1.92,14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betrivers,spreads,Texas Southern Tigers,1.88,-14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,bovada,spreads,Miss Valley St Delta Devils,1.91,14.0
Texas Southern Tigers vs Miss Valley St Delta Devils,bovada,spreads,Texas Southern Tigers,1.91,-14.0
